ID,IUPAC,SMILES,IE(%),Category,Concentration_mM,BaseMaterial,Temperature(K),Method,Aggressive Component,MolWt,Scaffold,Scaffold_Freq
208,"1-[2-(diethylamino)ethyl]-1H?indole-2,3-dione",CCN(CC)CCN1C(=O)C(=O)c2ccccc21,88.8,Indigo derivative,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,246.31,O=C1Nc2ccccc2C1=O,4
135,(E)-4-(2-(4-fluorobenzylidene)hydrazinecarbonyl)-1-propylpyridin-1-iumiodide(Ipyr-C3H7),CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],88.6,Pyridines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,413.234,O=C(N/N=C/c1ccccc1)c1cc[nH+]cc1,4
39,N-(2-hydroxyphenyl)salicyaldimine(Salhp),Oc1ccccc1C=Nc1ccccc1O,88.0,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,213.236,C(=Nc1ccccc1)c1ccccc1,4
267,(Z)-3-hydroxy-1-(pyridin-2-yl)but-2-en-1-one(KE-1),C/C(O)=C/C(=O)c1ccccn1,89.2,Ketenol derivatives,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,163.176,c1ccncc1,4
136,(E)-4-(2-(4-fluorobenzylidene)hydrazinecarbonyl)-1-pentylpyridin-1-iumiodide(Ipyr-C5H11),CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],87.8,Pyridines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,441.288,O=C(N/N=C/c1ccccc1)c1cc[nH+]cc1,4
245,"(E)-1-(2,4-dinitrophenyl)-2-(4-methylbenzylidene)hydrazine(HZ-Me)",Cc1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,87.77,Hydrazine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,300.274,C(=N/Nc1ccccc1)\c1ccccc1,4
207,"5-bromo-1[2-(diethylamino)ethyl]-1H?indole-2,3-dione",CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21,93.5,Indigo derivative,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,325.206,O=C1Nc2ccccc2C1=O,4
75,"1-(4-isopropylphenyl)-2-(2,4-dinitrophenyl)",CC(C)c1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,93.46,Hydrazine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,328.328,C(=N/Nc1ccccc1)\c1ccccc1,4
244,"(E)-4-((2-(2,4-dinitrophenyl)hydrazineylidene)methyl)benzene-1,3-diol(HZ-OH)",O=[N+]([O-])c1ccc(N/N=C/c2ccc(O)cc2O)c([N+](=O)[O-])c1,93.89,Hydrazine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,318.245,C(=N/Nc1ccccc1)\c1ccccc1,4
160,"2,6-Dithiopurine",Sc1nc(S)c2nc[nH]c2n1,85.4,Purines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,184.249,c1ncc2nc[nH]c2n1,4
40,N-(2-methylphenyl)salicyaldimine(Salmp),Cc1ccccc1N=Cc1ccccc1O,93.0,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,211.264,C(=Nc1ccccc1)c1ccccc1,4
230,4-pyridinecarboxaldehydethiosemicarbazone,NC(=S)N/N=C/c1ccncc1,84.5,Semicarbazones,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,180.236,c1ccncc1,4
246,(E)-1-(4-chlorobenzylidene)-2-(24-dinitrophenyl)hydrazine(HZ-Cl),O=[N+]([O-])c1ccc(N/N=C/c2ccc(Cl)cc2)c([N+](=O)[O-])c1,84.3,Hydrazine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,320.692,C(=N/Nc1ccccc1)\c1ccccc1,4
41,N-(2-methoxyphenyl)salicyaldimine(Salmop),COc1ccccc1N=Cc1ccccc1O,85.0,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,227.263,C(=Nc1ccccc1)c1ccccc1,4
158,"2,6-diaminopurine",Nc1nc(N)c2nc[nH]c2n1,70.9,Purines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,150.145,c1ncc2nc[nH]c2n1,4
157,Adenine,Nc1ncnc2[nH]cnc12,69.9,Purines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,135.13,c1ncc2nc[nH]c2n1,4
35,"N,N-dimethyl-4-(((1-methyl-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)imino)methyl)-N-hexadecylbenzenaminiumbromide",CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],94.01,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,625.74,O=c1c(/N=C/c2ccccc2)c[nH]n1-c1ccccc1,3
34,"N,N-dimethyl-4-(((1-methyl-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)imino)methyl)-N-dodecylbenzenaminiumbromide",CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],91.27,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,569.632,O=c1c(/N=C/c2ccccc2)c[nH]n1-c1ccccc1,3
217,"(E)-2-(4-(3-(2,5dimethoxyphenyl)acryloyl)phenoxy)aceticacid(AA-3)",COc1ccc(OC)c(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)c1,95.96,Chalcone,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,342.347,O=C(/C=C/c1ccccc1)c1ccccc1,3
282,"2-amino-5-oxo-4-phenyl-4H,5H-pyrano[3,2-c]chromene-3-carbonitrile(PY-H)",N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccccc1,89.0,Pyranes,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,316.316,O=c1oc2ccccc2c2c1C(c1ccccc1)C=CO2,3
71,ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,82.4,  - Lactam antibiotics,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,349.412,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2CCS[C@H]12,3
225,"2,6-dichloroquinoline-3-carbaldehyde(QA-1)",O=Cc1cc2cc(Cl)ccc2cc1Cl,83.0,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,225.074,c1ccc2ccccc2c1,3
72,amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,66.6,  - Lactam antibiotics,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,365.411,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2CCS[C@H]12,3
269,"4(N,N-dimethylamino)benzaldehydenicotinicacidhydrazone(ABNH)",CN(C)c1ccc(/C=N/NC(=O)c2cccnc2)cc1,85.0,Hydrazine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,268.32,O=C(N/N=C/c1ccccc1)c1cccnc1,3
140,"2-(2-(4-chlorophenyl)?1H-benzo[d]imidazol-1-yl)-N-(3,5-dimethylphenyl)acetamide(CBIN-2)",Cc1cc(C)cc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)c1,95.0,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,389.886,O=C(Cn1c(-c2ccccc2)nc2ccccc21)Nc1ccccc1,3
33,"N,N-dimethyl-4-(((1-methyl-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)imino)methyl)-N-octylbenzenaminiumbromide",CCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],85.03,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,513.524,O=c1c(/N=C/c2ccccc2)c[nH]n1-c1ccccc1,3
242,3-(4-chlorophenylimino)indolin-2-one(TANC),O=C1Nc2ccccc2/C1=N/c1ccc(Cl)cc1,85.3,Amine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,256.692,O=C1Nc2ccccc2/C1=N/c1ccccc1,3
219,(E)-2-(4-(3-(p-tolyl)acryloyl)phenoxy)aceticacid(AA-1),CC(=O)COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1,85.37,Chalcone,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,294.35,O=C(/C=C/c1ccccc1)c1ccccc1,3
241,3-(4-hydroxyphenylimino)indolin-2-one(TANO),O=C1Nc2ccccc2/C1=N/c1ccc(O)cc1,91.2,Amine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,238.246,O=C1Nc2ccccc2/C1=N/c1ccccc1,3
90,1-nonylpyridaziniumiodide,CCCCCCCCC[n+]1ccccn1.[I-],87.7,Pyridines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,334.245,c1cc[nH+]nc1,3
70,penicillinG,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,86.8,  - Lactam antibiotics,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,334.397,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2CCS[C@H]12,3
257,"2-amino-4-(4-chlorophenyl)-5-oxo-4,5-dihydropyrano[3,2c]chromene-3-carbonitrile(PY-4Cl)",N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccc(Cl)cc1,86.8,Pyranes,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,350.761,O=c1oc2ccccc2c2c1C(c1ccccc1)C=CO2,3
2,"Bis(p-(N,N,N-decyldimethylammoniumbromide)benzylidenethiourea(10-S-10)",CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],93.46,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,780.844,S=C(N=Cc1ccccc1)N=Cc1ccccc1,3
3,"Bis(p-(N,N,N-dodecyldimethylammoniumbromide)benzylidene)thiourea(12-S-12)",CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],94.18,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,836.952,S=C(N=Cc1ccccc1)N=Cc1ccccc1,3
224,2-chloro-6-nitroquinoline-3-carbaldehyde(QA-2),O=Cc1cc2cc([N+](=O)[O-])ccc2cc1Cl,85.0,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,235.626,c1ccc2ccccc2c1,3
176,"1-[3-(2,4-dichlorophenyl)-4,5-dihydropyrazolyl]-2-(1H-1,2,4-triazolyl)ethanone(CHOT)",O=C(Cn1cncn1)N1CCC(c2ccc(Cl)cc2Cl)=N1,99.0,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,324.171,O=C(Cn1cncn1)N1CCC(c2ccccc2)=N1,3
240,3-(phenylimino)indolin-2-one(TANH),O=C1Nc2ccccc2/C1=N/c1ccccc1,74.8,Amine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,222.247,O=C1Nc2ccccc2/C1=N/c1ccccc1,3
141,2-(2-(4-chlorophenyl)?1H-benzo[d]imidazol-1-yl)-N-phenylacetamide(CBIN-3),O=C(Cn1c(-c2ccc(Cl)cc2)nc2ccccc21)Nc1ccccc1,92.6,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,361.832,O=C(Cn1c(-c2ccccc2)nc2ccccc21)Nc1ccccc1,3
91,1-octylpyridaziniumiodide,CCCCCCCC[n+]1ccccn1.[I-],89.2,Pyridines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,320.218,c1cc[nH+]nc1,3
265,N'-(4-methylybezylidene)nicotinichydrazone(MBNH),Cc1ccc(/C=N/NC(=O)c2cccnc2)cc1,81.5,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,239.278,O=C(N/N=C/c1ccccc1)c1cccnc1,3
174,"1-(3-phenyl-4,5-dihydropyrazolyl)-2-(1H-1,2,4-triazolyl)ethanone(BHOT)",O=C(Cn1cncn1)N1CCC(c2ccccc2)=N1,98.0,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,255.281,O=C(Cn1cncn1)N1CCC(c2ccccc2)=N1,3
264,N'-(4-Hydroxybezylidene)nicotinichydrazone(HBNH),O=C(N/N=C/c1ccc(O)cc1)c1cccnc1,82.3,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,241.25,O=C(N/N=C/c1ccccc1)c1cccnc1,3
218,2-(4-(3-(4-methoxyphenyl)propanoyl)phenoxy)aceticacid(AA-2),COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,92.29,Chalcone,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,312.321,O=C(/C=C/c1ccccc1)c1ccccc1,3
117,"4,4'-((1E,1'E)-((3,3'-dimethoxy-[1,1'-biphenyl]-4,4'-diyl)bis(azaneylylidene))bis(methaneylylidene))bis(N-decyl-N,Ndimethylbenzenaminium)(I10)",CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],97.76,Anilines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,934.987,C(=N/c1ccc(-c2ccc(/N=C/c3ccccc3)cc2)cc1)\c1ccccc1,3
139,2-(2-(4-chlorophenyl)?1H-benzo[d]imidazol-1-yl)-N-(p-tolyl)acetamide(CBIN-1),Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,94.6,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,375.859,O=C(Cn1c(-c2ccccc2)nc2ccccc21)Nc1ccccc1,3
256,"2-amino-4-(2-chlorophenyl)-5-oxo-4,5-dihydropyrano[3,2-c]chromene-3-carbonitrile(PY-2Cl)",N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccccc1Cl,91.6,Pyranes,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,350.761,O=c1oc2ccccc2c2c1C(c1ccccc1)C=CO2,3
116,"4,4'-((1E,1'E)-((3,3'-dimethoxy-[1,1'-biphenyl]-4,4'-diyl)bisazaneylylidene))bis(methaneylylidene))bis(N,N-dimethyl-N-octylbenzenaminium)bromide(I8)",CCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],97.27,Anilines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,878.879,C(=N/c1ccc(-c2ccc(/N=C/c3ccccc3)cc2)cc1)\c1ccccc1,3
118,"4,4'-((1E,1'E)-((3,3'-dimethoxy-[1,1'-biphenyl]-4,4'-diyl)bis(azaneylylidene))bis(methaneylylidene))bis(N-dodecyl-N,N-dimethylbenzenaminium)bromide(I12)",CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],97.11,Anilines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,991.095,C(=N/c1ccc(-c2ccc(/N=C/c3ccccc3)cc2)cc1)\c1ccccc1,3
89,1-heptylpyridaziniumiodide,CCCCCCC[n+]1ccccn1.[I-],91.4,Pyridines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,306.191,c1cc[nH+]nc1,3
223,"2,6-dichloro-8-nitroquinoline-3-carbaldehyde(QA-3)",C=[N+]([O-])c1cc(Cl)cc2cc(C=O)c(Cl)cc12,95.0,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,268.099,c1ccc2ccccc2c1,3
4,"Bis(p-(N,N,N-tetradecyldimethylammoniumbromide)benzylidene)thiourea(14-S-14)",CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],95.04,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,949.168,S=C(N=Cc1ccccc1)N=Cc1ccccc1,3
175,"1-[3-(4-Fluorophenyl)-4,5-dihydropyrazolyl)-2-(1H-1,2,4-triazolyl)ethanone(FHOT)",O=C(Cn1cncn1)N1CCC(c2ccc(F)cc2)=N1,97.0,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,273.271,O=C(Cn1cncn1)N1CCC(c2ccccc2)=N1,3
143,5-((2-(4-bromophenyl)-1Hbenzimidazol-1-yl)methyl)quinoline-8-ol(BQ),Oc1ccc(Cn2c(-c3ccc(Br)cc3)nc3ccccc32)c2cccnc12,92.1,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,430.305,c1ccc(-c2nc3ccccc3n2Cc2cccc3ncccc23)cc1,2
231,"1,4-bis(2-(4-chlorophenyl)-1H-benzo[d]imidazol-1-yl)butane(IM-CL)",Clc1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,89.0,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,511.456,c1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccccc3)nc3ccccc32)cc1,2
114,"5,6-anhydro-3-O-hexadecyl-1,2-O-isopropylidene-a-D-glucofuranose(G-C6)",CCCCCCOC1C2OC(C)(C)O[C@H]2O[C@]12CO2,94.3,Glucose,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,272.341,C1OC2C[C@@]3(CO3)O[C@@H]2O1,2
189,"[(5,6-anhydro-3-O-methyl-1,2-O-isopropyli-dene-  -D-glucofuran-ose)(CG1)",COC1C2OC(C)(C)O[C@H]2C[C@@H]1C1CO1,92.9,Glucose,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,214.261,C1OC2C[C@@H](C3CO3)C[C@@H]2O1,2
65,"2-(1,4,5-triphenyl-1H-imidazol-2-yl)phenol",Oc1ccccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1,94.0,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,388.47,c1ccc(-c2nc(-c3ccccc3)n(-c3ccccc3)c2-c2ccccc2)cc1,2
285,"methyl2-amino-4-(4-methoxyphenyl)-4H-pyrano[3,2 Ch]quinoline-3-carboxylate(P-2)",COC(=O)C1=C(N)Oc2c(ccc3cccnc23)C1c1ccc(OC)cc1,93.8,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,362.385,C1=CC(c2ccccc2)c2ccc3cccnc3c2O1,2
154,(8-hydroxyquinolin-5-yl)methyl-4-chlorobenzoate,O=C(OCc1ccc(O)c2ncccc12)c1ccc(Cl)cc1,93.1,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,313.74,O=C(OCc1cccc2ncccc12)c1ccccc1,2
73,"3-(5-methoxy-2-hydroxybenzylideneamino)-2(5-methoxy-2-hydroxyphenyl)-2,3-dihydroquinazoline-4(1H)-one(MMDQ)",COc1ccc(O)c(/C=N/N2C(=O)c3ccccc3NC2c2cc(OC)ccc2O)c1,93.0,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,419.437,O=C1c2ccccc2NC(c2ccccc2)N1/N=C/c1ccccc1,2
11,(E)-4-hydroxy-6-methyl-3-(1-(phenylimino)ethyl)-2H-pyran-2-one,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,86.5,Pyranes,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,243.262,O=c1occcc1C=Nc1ccccc1,2
78,6-benzylquinoline(BQ),c1ccc(Cc2ccc3ncccc3c2)cc1,96.54,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,219.287,c1ccc(Cc2ccc3ncccc3c2)cc1,2
204,(E)-3-(4-(dimethylamino)quinoxalin-2(1H)-one(NSQN),CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1,96.4,Quinoxalines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,291.354,O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1,2
66,"3-methoxy-4-(1,4,5-triphenyl-1H-imidazol-2-yl)phenol",COc1cc(O)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1,95.4,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,418.496,c1ccc(-c2nc(-c3ccccc3)n(-c3ccccc3)c2-c2ccccc2)cc1,2
168,"1-N-[1'-(1',2',4'-Triazole)]acetyl-4-N-(3'',5''-dimethyl)benzoylthiosemicarbazone(TDBU)",Cc1cc(C)cc(C(O)NC(=S)NNC(=O)Cn2cncn2)c1,94.8,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,334.405,O=C(Cn1cncn1)NNC(=S)NCc1ccccc1,2
196,5-benzylquinoline,c1ccc(Cc2cccc3ncccc23)cc1,94.74,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,219.287,c1ccc(Cc2cccc3ncccc23)cc1,2
190,"(5,6-anhydro-3-O-hexadecyl-1,2-O-isopropylidene-  -D-glucofuranose(CG16)",CCCCCCOC1C2OC(C)(C)O[C@H]2C[C@@H]1C1CO1,94.6,Glucose,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,284.396,C1OC2C[C@@H](C3CO3)C[C@@H]2O1,2
115,"5,6-anhydro-3-O-dodecyl-1,2-O-isopropylidene-a-D-glucofuranose(G-C12)",CCCCCCCCCCCCOC1C2OC(C)(C)O[C@H]2O[C@]12CO2,94.4,Glucose,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,356.503,C1OC2C[C@@]3(CO3)O[C@@H]2O1,2
12,(E)-3-(1-((2-chlorophenyl)imino)ethyl)-4-hydroxy-6-methyl-2H-pyran-2-one,C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,81.4,Pyranes,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,277.707,O=c1occcc1C=Nc1ccccc1,2
232,"1,4-bis(2-phenyl-1H-benzo[d]imidazol-1-yl)butane(IM-H)",c1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccccc3)nc3ccccc32)cc1,81.0,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,442.566,c1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccccc3)nc3ccccc32)cc1,2
111,1-hydroxyethyl-3-methylimidazoliumbis(trifluoromethylsulfonyl)imide([(OHC2)MIm][NTF2]),C[N+]1=CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,26.4,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,409.33,C1=[NH+]CNC1,2
203,E)-3-(4chlorostyryl)quinoxalin-2(1H)-one(CSQN),O=c1[nH]c2ccccc2nc1/C=C/c1ccc(Cl)cc1,92.8,Quinoxalines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,282.73,O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1,2
142,"5-((2-(4-bromophenyl)-5,6-dimethyl-1H-benzimidazol-1-yl)methyl)quinolin-8-ol(BQM)",Cc1cc2nc(-c3ccc(Br)cc3)n(Cc3ccc(O)c4ncccc34)c2cc1C,97.0,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,458.359,c1ccc(-c2nc3ccccc3n2Cc2cccc3ncccc23)cc1,2
110,1-hydroxyethyl-3-methylimidazoliumbis(fluorosulfon)imide([(OHC2)MIm][FSI]),C[N+]1=CCN(CCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F,13.7,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,309.316,C1=[NH+]CNC1,2
199,2-hydroxypyrimidine(HP);,Oc1ncccn1,54.6,Pyrimidines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,96.089,c1cncnc1,2
74,"3-(5-nitro-2-hydroxybenzylideneamino)-2(5-nitro-2-hydroxyphenyl)-2,3-dihydroquinazoline-4(1H)-one(NNDQ)",O=C1c2ccccc2NC(c2cc([N+](=O)[O-])ccc2O)N1/N=C/c1cc([N+](=O)[O-])ccc1O,90.2,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,449.379,O=C1c2ccccc2NC(c2ccccc2)N1/N=C/c1ccccc1,2
206,(E)-N  -(1-(4-bromophenyl)ethylidene)-2-(6-methoxynaphthalen-2-yl)propanehydrazide(PHD-Br),COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccc(Br)cc3)ccc2c1,91.0,Hydrazine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,425.326,O=C(Cc1ccc2ccccc2c1)NN=Cc1ccccc1,2
167,"1-N-[1'-(1',2',4'-Triazole)]acetyl-4-N-benzoylaminothiourea(TBU)",O=C(Cn1cncn1)NNC(=S)NC(O)c1ccccc1,97.8,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,306.351,O=C(Cn1cncn1)NNC(=S)NCc1ccccc1,2
79,"6-(quinolin-6-ylmethyl)benzene-1,2,3,4,5-pentasulfonicacid(QBPA)",O=S(=O)(O)c1c(Cc2ccc3ncccc3c2)c(S(=O)(=O)O)c(S(=O)(=O)O)c(S(=O)(=O)O)c1S(=O)(=O)O,98.03,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,619.607,c1ccc(Cc2ccc3ncccc3c2)cc1,2
155,(8-hydroxyquinolin-5-yl)methyl-4-nitrobenzoate,O=C(OCc1ccc(O)c2ncccc12)c1ccc([N+](=O)[O-])cc1,90.1,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,324.292,O=C(OCc1cccc2ncccc12)c1ccccc1,2
119,"(E)-N'-benzylidene-2-(3,5-dimethyl-1H-pyrazol-1-yl)acetohydrazide(DPP)",Cc1cc(C)n(CC(=O)N/N=C/c2ccccc2)n1,75.7,Pyrazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,256.309,O=C(Cn1cccn1)N/N=C/c1ccccc1,2
200,2-mercaptopyrimidine(MP),Sc1ncccn1,59.5,Pyrimidines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,112.157,c1cncnc1,2
